Timestamp,Team Name,Puzzle name,Answer,Status,Puzzle Points,Cumulative Points
1/15/16 14:05,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Gaming the System,with,NOT CORRECT,0,0
1/15/16 14:06,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Gaming the System,friends,NOT CORRECT,0,0
1/15/16 14:12,Codex Rotundus,Gaming the System,WITH,NOT CORRECT,0,0
1/15/16 14:12,Up Late,Gaming the System,swith,NOT CORRECT,0,0
1/15/16 14:12,Hunches in Bunches,Gaming the System,with,NOT CORRECT,0,0
1/15/16 14:13,Left as an Exercise for the Reader,Gaming the System,SWITH,NOT CORRECT,0,0
1/15/16 14:17,Grand Unified Theory of Love,Gaming the System,WITH,NOT CORRECT,0,0
1/15/16 14:17,wafflehaÌ_s,Gaming the System,with,NOT CORRECT,0,0
1/15/16 14:19,Control Group,Gaming the System,WITH,NOT CORRECT,0,0
1/15/16 14:20,Test Solution Please Ignore,Gaming the System,with,NOT CORRECT,0,0
1/15/16 14:22,Hunches in Bunches,Always Amusing,name of guest,NOT CORRECT,0,0
1/15/16 14:22,Control Group,Gaming the System,SWITH,NOT CORRECT,0,0
1/15/16 14:23,ET Phone In Answer,Gaming the System,ANSWERSWITH,NOT CORRECT,0,0
1/15/16 14:23,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Gaming the System,swith,NOT CORRECT,0,0
1/15/16 14:24,Codex Rotundus,Gaming the System,NERDS,CORRECT,5,5
1/15/16 14:24,Death And Mayhem,Gaming The System,multidirectional,NOT CORRECT,0,0
1/15/16 14:25,Left out,Gaming the System,swith,NOT CORRECT,0,0
1/15/16 14:25,Left out,Gaming the System,with,NOT CORRECT,0,0
1/15/16 14:26,Vaguely Eloquent Team,Gaming The System,Switch,NOT CORRECT,0,0
1/15/16 14:27,Metaphysical Plant,Always Amusing,Christopher,NOT CORRECT,0,0
1/15/16 14:28,ET Phone In Answer,Gaming the System,WITH,NOT CORRECT,0,0
1/15/16 14:28,Libra Complexity,Always Amusing,mu,NOT CORRECT,0,0
1/15/16 14:29,Knock Knock,Always Amusing,NAME OF GUEST,NOT CORRECT,0,0
1/15/16 14:29,Hunches in Bunches,Gaming the System,NERD,NOT CORRECT,0,0
1/15/16 14:29,‰Ïö‰Ïö‰Ïö Galactic Trendsetters ‰Ïö‰Ïö‰Ïö,Something For Everyone,francois,NOT CORRECT,0,0
1/15/16 14:29,Hunches in Bunches,Gaming the System,NERDS,CORRECT,5,5
1/15/16 14:30,Singles Ready to Stay Indoors,Gaming the System,with,NOT CORRECT,0,0
1/15/16 14:30,Left out,Gaming the System,ANSWERSWITH,NOT CORRECT,0,0
1/15/16 14:30,Pi Squared,Gaming The System,answerswith,NOT CORRECT,0,0
1/15/16 14:31,The Providence Transplantations,Gaming the System,SWITH,NOT CORRECT,0,0
1/15/16 14:31,Left out,Always Amusing,Christopher,NOT CORRECT,0,0
1/15/16 14:31,Setec Astronomy,Ladder Dogs,Isthmus of Suez,CORRECT,5,5
1/15/16 14:31,Palindrome,"Bits Of Nomenclature, Zoned Appropriately",ROOD,CORRECT,5,5
