order,puzzle,round,solution,points_granted
1,Always Amusing,Tracking,USAGE,5
2,Before and After,Obedience Training,PEER,5
3,"Bits Of Nomenclature, Zoned Appropriately",Obedience Training,ROOD,5
4,Dog Food,Whistle training,PLUM WINE,5
5,Don't Cross an Alpha Bitch!,Ribbons,NATIONAL ACCLAIM,5
6,Gaming the System,Tracking,NERDS,5
7,Ladder Dogs,Obstacle Training,ISTHMUS OF SUEZ,5
8,Mad Dogs,Ribbons,DIAMOND JIM,5
9,Meshed Together,Tracking,SEINE,5
10,Off The Leash,Obstacle Training,PB-FREE,5
11,Paddywhack,Obstacle Training,MILK DRY,5
12,Pictocryptolists,Obstacle Training,TEN PM,5
13,Road Trip,Obstacle Training,OLD MAIDS,5
14,See Spot Run,Obedience Training,AGFA,5
15,Something For Everyone,Tracking,AUDIO,5
16,Spot the Dog,Whistle training,RED CENT,5
17,The Contest,Tracking,LADEN,5
18,"The Dogged Pursuit of Justice, AKA: Caught Red-Handed",Ribbons,CROWN PRINCE,5
19,Travelogue,Ribbons,COUNTRY SUNRISE,5
20,You Complete Me,Whistle training,HAVE NOT,5
21,Obedience Training,Dog Show,GOOFPROOF BREEDERS,10
22,Obstacle Training,Dog Show,INTENTIONLESS FLEABAGS,10
23,Ribbons,Dog Show,JUSTIFIED CHAMPIONS,10
24,Tracking,Dog Show,AUSLANDER DINGOES,10
25,Whistle training,Dog Show,ECUADORIAN HUNTERS,10
26,Dog Show,Dog Show,SLEEPING DOGS OFTEN LIE,25
27,ASCII Characters,Rip van Winkle,WALLAROO,10
28,Crimes Against Cruciverbalism,Rip van Winkle,ATROCITY,10
29,Feel the Music,Rip van Winkle,ORATORIO,10
30,Indecipherable,Rip van Winkle,PIANO TAB,10
31,Meet the Loremipsumstanis,Rip van Winkle,SELA WARD,10
32,On The Road,Rip van Winkle,TRAIPSES,10
33,Quilt by Association,Rip van Winkle,CORDLESS,10
34,The Case of the Dangerous Game,Rip van Winkle,SPORTAGE,10
35,Rip van Winkle,Rip van Winkle,DROP BALL,25
36,Blocks and Blocks,Sleeping Beauty,WHIZZER,10
37,How Far?,Sleeping Beauty,TRAPEZIUS,10
38,"identify, SORT, index, solve",Sleeping Beauty,LONG DOZEN,10
39,Mind Your Peas,Sleeping Beauty,SUZIE Q,10
40,Rhythms of the Season,Sleeping Beauty,JAZZ HARP,10
41,Roller Coaster,Sleeping Beauty,RAZZ,10
42,The Fire Swamp,Sleeping Beauty,BUZZKILL,10
43,Trubled Monicas,Sleeping Beauty,STARZZ,10
44,Unimaginably Twisted Files,Sleeping Beauty,ZEROES,10
45,Zodiac Quest,Sleeping Beauty,AZTECS,10
46,Sleeping Beauty,Sleeping Beauty,KISS AURORA WITH GUSTO,25
47,Behind the Music,Opus,BROWN SWISS,10
48,Crushed Petals,Opus,ALTAR STONE,10
49,Everything You Read,Opus,ASSUMPTION CLAUSE,10
50,I Never Promised You A Rows Garden,Opus,LE GRAND CONDE,10
51,Is that Even Music?,Opus,CYNTHIA JOHNSON,10
52,It's So Obvious!,Opus,WAFFLE KING,10
53,Losers,Opus,GEORGE WARD LINN,10
54,May the Shortz Be With You,Opus,RANDOLPH CALDECOTT,10
55,Prints,Opus,BRADFORD PARKINSON,10
56,Soul-Searching,Opus,AMOS BARTON,10
57,The White House or Bust!,Opus,ABBOT HALL ART GALLERY,10
58,Words Search,Opus,SKY CHASE ZONE,10
59,Worldly Possessions,Opus,ADVANCE PERSON,10
60,Opus,Opus,SLAM RIGHT WING,25
61,CLICK TO WIN!!!,King Arthur,WINDOWPANES,10
62,Follow the Pipes,King Arthur,ONLINE PORN,10
63,"Honey, I Shrunk the Hunt!",King Arthur,LITTLE BIGHORN,10
64,Quest for the Truth,King Arthur,IMPLAUSIBILITIES,10
65,Race Around the Block Again,King Arthur,WOEBEGONE,10
66,Reaching for the Stars,King Arthur,SELF-DECLARED,10
67,Student Simulator,King Arthur,KLINGON ALPHABET,10
68,The Scenic Route,King Arthur,PLAGIOCLIMAXES,10
69,To Serve and Protect,King Arthur,ASBOLITE,10
70,King Arthur,King Arthur,DO COCONUT HOOFBEATS,25
71,Cannery,Ysera,CHIANTIS,10
72,Emergency Deportation,Ysera,ELMSWELL,10
73,Field Scribe,Ysera,BESSIE,10
74,Formulating Teams,Ysera,ALEC TIDEY,10
75,Fun Sized,Ysera,SCRAM,10
76,Haddock Walk,Ysera,ACT PARTY,10
77,Life Braid,Ysera,MUTATES,10
78,Lost Skull,Ysera,DOLLDOMS,10
79,Luminance Shift,Ysera,STEPNEY,10
80,Provision,Ysera,PLUMPEST,10
81,Replication,Ysera,BUTTERY,10
82,Trail Goods,Ysera,PEMICAN,10
83,Vagabond Tours,Ysera,DRAG OFF,10
84,Wanderer,Ysera,LAMINAR,10
85,Worrying Ziggurats,Ysera,WINCHELL,10
86,Ysera,Ysera,DUMP COLD WATER,25
87,"1, 2, 3",Dreamtime Day 2 Meta,UNDERSTANDING,5
88,A League of Their Own,Dreamtime Day 5 Meta,QWERTY,5
89,A Quick Sudoku,Dreamtime Day 5 Meta,QUITE NICE,5
90,A Round at the Golf Course,Dreamtime Day 4 Meta,LORDLIER,5
91,Blazing Trails,Dreamtime Day 3 Meta,INDIGO BLUE,5
92,Blocks,Dreamtime Day 1 Meta,DRIFTERS,5
93,Boxes(TM),Dreamtime Day 4 Meta,GRAY DRAB,5
94,It's A Long Story,Dreamtime Day 1 Meta,LLAREGGUB,5
95,Missed Connections,Dreamtime Day 2 Meta,ABSENTEE,5
96,Missing the Mark,Dreamtime Day 5 Meta,POWDER PUFF,5
97,Paint it Black,Dreamtime Day 2 Meta,NOSEEUM,5
98,Peter is the bomb!,Dreamtime Day 1 Meta,STAR WITNESS,5
99,So Smart,Dreamtime Day 4 Meta,BANDEROL,5
100,Staggered Starts,Dreamtime Day 3 Meta,DUSTRAG,5
101,The Lost Dream,Dreamtime Day 5 Meta,BROWN NUMBERS,5
102,The Sound of Silence,Dreamtime Day 1 Meta,HUSH MONEY,5
103,Thinking Caps,Dreamtime Day 3 Meta,NICHE,5
104,Toll Bridges,Dreamtime Day 4 Meta,RAILYARD,5
105,Vocabulary quiz,Dreamtime Day 2 Meta,AESTIVATE,5
106,Who?,Dreamtime Day 3 Meta,UB IWERKS,5
107,Dreamtime Day 1 Meta,Dreamtime,TOMB,10
108,Dreamtime Day 2 Meta,Dreamtime,SUPERGENE,10
109,Dreamtime Day 3 Meta,Dreamtime,WHITENED,10
110,Dreamtime Day 4 Meta,Dreamtime,GANDERED,10
111,Dreamtime Day 5 Meta,Dreamtime,OUTCOME,10
112,Dreamtime,Dreamtime,LAUGH LIKE A CRAZY KOOKABURRA,25
113,A Most Congenial Odyssey,Pam Ewing,NAZGUL,10
114,Girl Talk,Pam Ewing,KARIN INGEL-ANKER,10
115,High Rollers,Pam Ewing,MADEWELL,10
116,Puzzle Extravaganza,Pam Ewing,QUICK REACTION,10
117,Quantum Minesweeper,Pam Ewing,PURITY IN DEATH,10
118,The TV Puzzle,Pam Ewing,OUT FOR THE SEASON,10
119,World's Longest Diagramless,Pam Ewing,LIZ LEMON GREEK FROZEN YOGURT,10
120,Pam Ewing,Pam Ewing,BE CRUDE,25
121,"The Eldritch, Gambrel Scavenger Hunt",Randolph Carter,REVENGE TRAGEDY,10
122,"The Foetid, Charnel Pie Charts",Randolph Carter,NEW YORK,10
123,"The Gibbous, Non-Euclidean Program",Randolph Carter,FINAL WARNING,10
124,"The Indescribable, Amorphous Cryptic",Randolph Carter,MASTER BEDROOM,10
125,"The Shunned, Cyclopean Postcards",Randolph Carter,JASON ALEXANDER,10
126,"The Spectral, Daemoniac Web of Links",Randolph Carter,CHILD CATCHER,10
127,"The Tenebrous, Stygian Test of Knowledge",Randolph Carter,STREET URCHIN,10
128,"The Unutterable, Antediluvian Robots in Disguise",Randolph Carter,WARRIORS' DAY,10
129,Randolph Carter,Randolph Carter,CRY OH GOD,25
130,All History Is Local,Sleeping Gypsy,HILLTOP,10
131,Believe,Sleeping Gypsy,PARADOX,10
132,Cubism,Sleeping Gypsy,TIGRISH,10
133,Disappointment,Sleeping Gypsy,SICKBAY,10
134,Jackson Pollock,Sleeping Gypsy,REGROWN,10
135,One Starry Night,Sleeping Gypsy,PIMPING,10
136,Sculptural Disassembly,Sleeping Gypsy,ABUSIVE,10
137,Triangular Intrigue,Sleeping Gypsy,TRIREME,10
138,Triptychs,Sleeping Gypsy,THIRDLY,10
139,Sleeping Gypsy,Sleeping Gypsy,BITE OFF EAR,25
140,Gravitational Pull,Endymion,BOWL,10
141,It Is What It is,Endymion,RABBIT EARS,10
142,Luna Park,Endymion,BENDLET,10
143,Lesser Works,Endymion,QUARTER AFTER ONE,10
144,Orbits,Endymion,BIG WHEEL,10
145,Satellite Navigation,Endymion,LEFT TURN,10
146,Some Assembly Required (SAR),Endymion,SHI,10
147,The Man in the Moon,Endymion,GRIN,10
148,The Pernicious Revenge of Juno,Endymion,BACKSLASH,10
149,Time Suck,Endymion,GAMMA,10
150,Trivial Mathematics,Endymion,CUBIC FUNCTION,10
